,Date,User,Tweet,Like,Reply,Retweet,Quote
99,2022-01-12 21:33:48+00:00,DarkJusticePH,"Ako ay Pilipino mula sa Quezon City, lumalaban at sumusuporta para kay LENI ROBREDO (@lenirobredo) at para sa mas magandang kinabukasan ng bawat Pilipino! 

Kay LENI ROBREDO, Gobyernong Tapat, Angat Buhay Lahat! 

#LakasNiLeni #LeniKiko2022 https://t.co/vfi1p4Rx8R qqqqq",7,0,1,0
100,2022-01-12 21:31:51+00:00,just_3_59am,"someone is telling me

someone-bro I am gay
Me-hainn ki Kehya phir boliyan
someone-mai meetha Ho
Me-acha Wadia
someone-and I like u😩
Me-oh Teri bhen Noh bhajaa ke le jaava
  Tu mainu like karda maine Hena Teri 
     Maar Leni hai Mere naal bakwas Na
Ohh sorry tu toh yehi chahida qqqqq",1,0,0,0
101,2022-01-12 21:31:26+00:00,FrancoRamos,"Do NOT believe this. This is NOT the pulse of the nation, this is the pulse of Twitter. Don’t get complacent. These are inflated numbers that don’t even add up. BBM is a very real threat, and poorly executed surveys like these are not helping Leni, they are hurting her. https://t.co/2R2U6jUz2n qqqqq",20,0,0,0
102,2022-01-12 21:29:18+00:00,cjmgjj,ganda ni vp leni ☹️💗 qqqqq,0,0,0,0
103,2022-01-12 21:18:39+00:00,Dead_petalx,Tomorrow if i woke up with no Goodmorning texts.. Bas suicide kar leni hai🙄 qqqqq,4,1,0,0
104,2022-01-12 21:18:07+00:00,CezarChina,"AKO AY FILIPINO AT MAY DUGONG CHINESE, PERO ANG PAG IISIP KO AT PUSO AY PATA KAY LENI AT KIKO SILA IBOBOTO KO SA DARATING NA HALALAN AT MGA SENADOR NA KASAMA https://t.co/HUcge2Evlr qqqqq",1,0,1,0
105,2022-01-12 21:17:52+00:00,DaYahBeng,"Me looking through twitter again peacefully:

Sees a fight against bongbong and leni again:

Me: https://t.co/8yDnf8rM8e qqqqq",0,0,0,0
106,2022-01-12 21:15:33+00:00,BrontWynston,Minsan meron sa Halaman na wala ke @lenirobredo https://t.co/CHZpjLfoul qqqqq,70,18,6,0
107,2022-01-12 21:13:31+00:00,DengJuliano,"LENI ROBREDO, KIKO, mga DILAWAN HUGAS KAMAY sa COMELEC hacking? 'Naglaba... https://t.co/jKGsZU4EnJ via @YouTube qqqqq",0,0,0,0
108,2022-01-12 21:12:53+00:00,WERartthou,"NAGPASURVEY KA 20,000++ ang respondents in 3 hours, 81% kay Leni tas binura mo. Ngayon may internal survey ka kamo 1,600 respondents lang tas landslide win na nyan si Junior? MAKE IT MAKE SENSE PLEASE 🥲 https://t.co/B1GEOFPtXf qqqqq",6,0,0,0
